"Flight Phase";"Aircraft Make";"Aircraft Damage";"Fatalities"
"PARACHUTE JUMPING";"CESSNA";"DESCONOCIDO";190
"NORMAL CRUISE";"CESSNA";"DESCONOCIDO";60
"PARACHUTE JUMPING";"";"DESCONOCIDO";58
"DESCENT";"CESSNA";"DESCONOCIDO";56
"PARACHUTE JUMPING";"DE HAVILLAND";"DESCONOCIDO";40
"PARACHUTE JUMPING";"BEECH";"DESCONOCIDO";35
"PARACHUTE JUMPING";"DOUGLAS";"DESCONOCIDO";23
"OTHER GROUND OPERATIONS";"CESSNA";"DESCONOCIDO";21
"OTHER-SPECIFY";"CESSNA";"NONE";12
"NORMAL CRUISE";"BEECH";"DESCONOCIDO";11
"OTHER GROUND OPERATIONS";"";"DESCONOCIDO";11
"LEVEL OFF TOUCHDOWN";"CESSNA";"DESCONOCIDO";10
"OTHER-SPECIFY";"";"NONE";9
"OTHER-SPECIFY";"DE HAVILLAND";"NONE";9
"DESCENT";"DOUGLAS";"DESCONOCIDO";8
"DESCENT";"";"DESCONOCIDO";7
"UNKNOWN";"";"NONE";7
"NORMAL CRUISE";"";"DESCONOCIDO";6
"CRUISE-LEVEL FLIGHT";"DE HAVILLAND";"NONE";5
"DESCENT";"BEECH";"DESCONOCIDO";5
"NORMAL CRUISE";"DE HAVILLAND";"DESCONOCIDO";5
"PARACHUTE JUMPING";"SHORT";"DESCONOCIDO";5
"CRUISE-LEVEL FLIGHT";"CESSNA";"NONE";4
"DESCENT";"";"NONE";4
"LANDING: APPROACH";"DE HAVILLAND";"NONE";4
"NORMAL CRUISE";"BOEING";"DESCONOCIDO";4
"OTHER GROUND OPERATIONS";"DOUGLAS";"DESCONOCIDO";4
"PARACHUTE JUMPING";"CASA";"DESCONOCIDO";4
"DESCENT";"DE HAVILLAND";"DESCONOCIDO";3
"LANDING: APPROACH";"";"NONE";3
"NORMAL CRUISE";"";"DESTROYED";3
"NORMAL CRUISE";"DOUGLAS";"DESCONOCIDO";3
"NORMAL CRUISE";"MCDONNELL DOUGLAS";"DESCONOCIDO";3
"OTHER-SPECIFY";"PAC";"NONE";3
"PARACHUTE JUMPING";"";"NONE";3
"PARACHUTE JUMPING";"CESSNA";"NONE";3
"UNKNOWN";"CESSNA";"NONE";3
"UNKNOWN";"DE HAVILLAND";"NONE";3
"CLIMB";"BOEING";"DESCONOCIDO";2
"CLIMB";"CESSNA";"DESCONOCIDO";2
