"Year";"Total_incidentes";"Total Fatalities"
"1978";5032;50
"1979";4922;52
"1980";4654;40
"1981";3996;50
"1982";3017;28
"1983";2863;25
"1984";2910;25
"1985";3261;24
"1986";3474;26
"1987";3515;31
"1988";3901;23
"1989";3892;31
"1990";3921;22
"1991";3804;33
"1992";3286;25
"1993";2868;37
"1994";2679;20
"1995";2634;25
"1996";2500;31
"1997";2396;28
"1998";2223;34
"1999";2446;17
"2000";2332;3
"2001";2101;6
"2002";2008;4
"2003";1884;3
"2004";1821;4
"2005";1631;2
"2006";1525;1
"2007";1589;2
"2008";1635;13
"2009";1369;5
"2010";1492;15
"2011";1411;15
"2012";1387;19
"2013";1324;17
"2014";1176;19
"2015";1121;17
