"Aircraft_Make";"Aircraft_Model";"Aircraft_Series";"Incidentes";"Fallecidos"
"ACES HIGH";"CUBY";"I";5;0
"ADAM";"A500";"NO SERIES EXISTS";1;0
"ADAM";"A700";"NO SERIES EXISTS";1;0
"ADAMS BALLOON";"A50S";"NO SERIES EXISTS";2;0
"ADAMS BALLOON";"A55";"NO SERIES EXISTS";8;0
"ADAMS BALLOON";"A55S";"NO SERIES EXISTS";9;0
"ADAMS BALLOON";"AB";"NO SERIES EXISTS";1;0
"ADAMS BALLOON";"LDS";"NO SERIES EXISTS";1;0
"ADVANCED AVIATION";"KING COBRA";"UNDESIGNATED SERIES";3;0
"AERO COMMANDER";"100";"180";15;0
"AERO COMMANDER";"100";"UNDESIGNATED SERIES";25;0
"AERO COMMANDER";"1121";"A";1;0
"AERO COMMANDER";"200";"A";9;0
"AERO COMMANDER";"200";"B";4;0
"AERO COMMANDER";"200";"D";25;0
"AERO COMMANDER";"500";"A";17;0
"AERO COMMANDER";"500";"B";92;0
"AERO COMMANDER";"500";"U";6;0
"AERO COMMANDER";"500";"UNDESIGNATED SERIES";64;0
"AERO COMMANDER";"520";"NO SERIES EXISTS";19;0
"AERO COMMANDER";"560";"A";9;0
"AERO COMMANDER";"560";"E";7;0
"AERO COMMANDER";"560";"F";6;0
"AERO COMMANDER";"560";"UNDESIGNATED SERIES";20;0
"AERO COMMANDER";"680";"E";10;0
"AERO COMMANDER";"680";"F";8;0
"AERO COMMANDER";"680";"FLP";5;0
"AERO COMMANDER";"680";"T";6;0
"AERO COMMANDER";"680";"UNDESIGNATED SERIES";29;0
"AERO COMMANDER";"690";"C";24;0
"AERO COMMANDER";"690";"D";12;0
"AERO COMMANDER";"695";"A";7;0
"AERO COMMANDER";"695";"UNDESIGNATED SERIES";14;0
"AERO SPACELINES";"377";"MG";2;0
"AERO VODOCHODY";"L29";"NO SERIES EXISTS";10;0
"AERO VODOCHODY";"L39";"C";11;0
"AERO VODOCHODY";"L39";"UNDESIGNATED SERIES";2;0
"AEROMERE";"FALCO F8L";"3";7;0
"AEROMOT";"AMT100";"NO SERIES EXISTS";1;0
"AEROMOT";"AMT200";"S";3;0
"AEROMOT";"AMT200";"UNDESIGNATED SERIES";7;0
"AERONCA";"11AC";"NO SERIES EXISTS";83;0
"AERONCA";"11BC";"NO SERIES EXISTS";7;0
"AERONCA";"11CC";"NO SERIES EXISTS";5;0
"AERONCA";"15AC";"NO SERIES EXISTS";21;0
"AERONCA";"50TC";"NO SERIES EXISTS";1;0
"AERONCA";"60TF";"NO SERIES EXISTS";1;0
"AERONCA";"65C";"NO SERIES EXISTS";4;0
"AERONCA";"65CA";"NO SERIES EXISTS";9;0
"AERONCA";"65TAC";"NO SERIES EXISTS";6;0
"AERONCA";"65TAF";"NO SERIES EXISTS";1;0
"AERONCA";"65TC";"NO SERIES EXISTS";5;0
"AERONCA";"65TL";"NO SERIES EXISTS";2;0
"AERONCA";"7AC";"NO SERIES EXISTS";273;0
"AERONCA";"7BCM";"NO SERIES EXISTS";21;0
"AERONCA";"7CCM";"NO SERIES EXISTS";15;0
"AERONCA";"7DC";"NO SERIES EXISTS";23;0
"AERONCA";"7EC";"NO SERIES EXISTS";45;0
"AERONCA";"C3";"NO SERIES EXISTS";1;0
"AERONCA";"L3";"NO SERIES EXISTS";1;0
"AERONCA";"O58B";"NO SERIES EXISTS";14;0
"AEROPRAKT";"A22";"LS";2;0
"AEROPRAKT";"A22";"UNDESIGNATED SERIES";2;0
